objectID,footprint,area,height,label,data,index
3821,3235.0,6755.772575,15.93,0,../data/data_root/data00/3821.pt,3821
3850,1592.0,3716.71203125,17.51,0,../data/data_root/data00/3850.pt,3850
3856,1749.0,5041.764578125,12.73,0,../data/data_root/data00/3856.pt,3856
3862,1663.0,24454.65005,19.5,0,../data/data_root/data00/3862.pt,3862
3868,1966.0,7350.866421875,22.08,0,../data/data_root/data00/3868.pt,3868
3932,5675.0,7166.81968125,24.9,0,../data/data_root/data00/3932.pt,3932
3936,3161.0,6505.20145,18.67,0,../data/data_root/data00/3936.pt,3936
3937,1964.0,4665.02730625,16.98,0,../data/data_root/data00/3937.pt,3937
3991,2738.0,4323.44455,23.36,0,../data/data_root/data00/3991.pt,3991
4017,2244.0,7504.13565,24.14,0,../data/data_root/data00/4017.pt,4017
4032,2358.0,8315.88955,21.03,0,../data/data_root/data00/4032.pt,4032
4057,2027.0,4904.3714,16.94,0,../data/data_root/data00/4057.pt,4057
4085,2016.0,6742.92665,21.57,0,../data/data_root/data00/4085.pt,4085
4086,1876.0,6742.92665,13.41,0,../data/data_root/data00/4086.pt,4086
4108,1881.0,2557.1236,13.96,0,../data/data_root/data00/4108.pt,4108
4113,2283.0,5400.4572,9.08,0,../data/data_root/data00/4113.pt,4113
4122,3208.0,4847.719759375,18.37,0,../data/data_root/data00/4122.pt,4122
4128,1913.0,5503.38685,20.17,0,../data/data_root/data00/4128.pt,4128
4131,1792.0,2145.7642375,13.63,0,../data/data_root/data00/4131.pt,4131
4137,1859.0,5853.1662875,16.83,0,../data/data_root/data00/4137.pt,4137
4142,2391.0,4203.04366171875,25.91,0,../data/data_root/data00/4142.pt,4142
4148,1616.0,2638.630828125,15.82,0,../data/data_root/data00/4148.pt,4148
4154,1804.0,6730.528425,17.84,0,../data/data_root/data00/4154.pt,4154
4160,1867.0,6777.7934,23.64,0,../data/data_root/data00/4160.pt,4160
4163,3190.0,6742.1632,20.62,0,../data/data_root/data00/4163.pt,4163
4164,3179.0,6740.6191,20.47,0,../data/data_root/data00/4164.pt,4164
