,OBJECTID
8673,2121962
8679,2121974
8681,2121978
8684,2121984
8685,2121985
8692,2122018
8693,2122019
8699,2122043
8705,2122061
8707,2122063
8710,2122066
8726,2122098
8762,2122195
8771,2122220
8787,2122310
8791,2122332
8792,2122352
8795,2122372
8797,2122384
8801,2122389
8803,2122397
8813,2122441
8820,2122468
8826,2122477
8827,2122478
8829,2122494
8830,2122496
8833,2122502
8837,2122507
8840,2122522
8841,2122524
8843,2122529
8844,2122531
8845,2122533
8847,2122540
8870,2122591
8877,2122608
8885,2122631
8898,2122662
8902,2122673
8907,2122684
8912,2122692
8919,2122705
8924,2122713
8954,2122789
8960,2122797
8962,2122800
8964,2122802
8965,2122808
8967,2122810
8970,2122816
8971,2122817
8972,2122818
8986,2122840
8988,2122845
9003,2122873
9007,2122892
9010,2122903
9022,2122938
9024,2122944
9025,2122952
9026,2122953
9027,2122954
9029,2122958
9066,2123041
9068,2123048
9072,2123059
9077,2123068
9078,2123072
9089,2123109
9090,2123114
9095,2123122
9097,2123125
9098,2123126
