,OBJECTID
1805,1048538
1806,1048539
1807,1048540
1808,1048541
1809,1048543
1810,1048546
1811,1048550
1812,1048551
1813,1048558
1814,1048560
1815,1048561
1816,1048565
1817,1048568
1818,1048570
1819,1048572
1820,1048573
1821,1048574
1822,1048575
1823,1048576
1824,1048577
1825,1048578
1826,1048579
1827,1048580
1828,1048582
1829,1048583
1830,1048584
1831,1048587
1832,1048588
1833,1048591
1834,1048594
1835,1048597
1836,1048605
1837,1048608
1838,1048611
1839,1048612
1840,1048616
1841,1048617
1842,1048622
1843,1048625
1844,1048626
1845,1048627
1846,1048630
1847,1048633
1848,1048634
1849,1048635
1850,1048636
1851,1048639
1852,1048640
1853,1048641
1854,1048644
1855,1048645
1856,1048646
1857,1048647
1858,1048650
1859,1048654
1860,1048655
1861,1048658
1862,1048659
1863,1048661
1864,1048664
1865,1048666
1866,1048667
1867,1048668
1868,1048669
1869,1048670
1870,1048671
1871,1048674
1872,1048675
1873,1048677
1874,1048678
1875,1048680
1876,1048681
1877,1048682
1878,1048685
1879,1048686
1880,1048687
1881,1048690
1882,1048701
1883,1048702
1884,1048703
1885,1048706
1886,1048708
1887,1048709
1888,1048710
1889,1048714
1890,1048715
1891,1048719
1892,1048727
1893,1048730
1894,1048731
1895,1048734
1896,1048735
1897,1048741
1898,1048744
1899,1048746
1900,1048751
1901,1048752
1902,1048754
1903,1048760
1904,1048762
1905,1048763
1906,1048771
1907,1048772
1908,1048777
1909,1048778
1910,1048781
1911,1048784
1912,1048785
1913,1048794
1914,1048796
1915,1048798
1916,1048800
1917,1048801
1918,1048803
1919,1048805
1920,1048809
1921,1048810
1922,1048812
1923,1048813
1924,1048814
1925,1048815
1926,1048816
1927,1048817
1928,1048819
1929,1048822
1930,1048824
1931,1048825
1932,1048827
1933,1048829
1934,1048830
1935,1048831
1936,1048836
1937,1048837
1938,1048840
1939,1048842
1940,1048843
1941,1048845
1942,1048847
1943,1048856
1944,1048857
1945,1048858
1946,1048859
1947,1048860
1948,1048861
1949,1048862
1950,1048863
1951,1048864
1952,1048868
1953,1048869
1954,1048874
1955,1048875
1956,1048876
1957,1048879
1958,1048880
1959,1048882
1960,1048883
1961,1048885
1962,1048887
1963,1048890
1964,1048897
1965,1048903
1966,1048904
1967,1048907
1968,1048908
1969,1048911
1970,1048913
1971,1048915
1972,1048917
1974,1048923
1975,1048934
1976,1048935
1977,1048938
1978,1048939
1979,1048942
1980,1048945
1981,1048948
1982,1048949
1983,1048950
1984,1048951
1985,1048956
1986,1048957
1987,1048958
1988,1048961
1989,1048963
1990,1048965
1991,1048969
1992,1048971
1993,1048972
1994,1048975
1995,1048976
1996,1048980
1997,1048981
1998,1048982
1999,1048983
2000,1048992
2001,1048995
2002,1048997
2003,1048999
2004,1049000
2005,1049003
2006,1049004
2007,1049006
2008,1049009
2009,1049010
2010,1049012
2011,1049017
2012,1049019
2013,1049022
2014,1049024
2015,1049028
2016,1049029
2017,1049032
2018,1049035
2020,1049041
2021,1049045
2022,1049047
2023,1049051
2024,1049052
2025,1049053
2026,1049056
2027,1049058
2028,1049060
2029,1049061
2030,1049065
2031,1049068
2032,1049071
2033,1049072
2034,1049073
2035,1049075
2036,1049076
2037,1049077
2038,1049079
2039,1049081
2040,1049084
2041,1049086
2042,1049087
2043,1049089
2044,1049091
2045,1049095
2046,1049096
2047,1049098
2048,1049100
2049,1049103
2051,1049106
2052,1049111
2053,1049112
2054,1049116
2055,1049117
2056,1049118
2057,1049121
2058,1049123
2059,1049124
2060,1049125
2061,1049128
2062,1049133
2063,1049135
2064,1049137
2065,1049139
2066,1049140
2067,1049145
2068,1049146
2069,1049151
2070,1049153
2071,1049155
2072,1049158
2073,1049160
2074,1049161
2075,1049163
2076,1049164
2077,1049166
2078,1049168
2079,1049169
2080,1049170
2081,1049172
2082,1049173
2083,1049174
2084,1049175
2085,1049178
2086,1049180
2087,1049182
2088,1049183
2089,1049184
2090,1049186
2091,1049187
2092,1049188
2093,1049191
2095,1049197
2096,1049198
2097,1049200
2098,1049201
2099,1049205
2100,1049206
2101,1049207
2102,1049209
2103,1049210
2104,1049211
2105,1049212
2106,1049215
2108,1049222
2109,1049223
2110,1049225
2111,1049226
2112,1049228
2113,1049230
2114,1049231
2115,1049232
2116,1049233
2117,1049238
2118,1049240
2119,1049241
2120,1049242
2121,1049243
2122,1049244
2123,1049245
2124,1049246
2125,1049249
2126,1049260
2127,1049262
2128,1049263
2129,1049264
2130,1049265
2131,1049266
2132,1049267
2133,1049268
2134,1049270
2135,1049272
2136,1049276
2137,1049279
2138,1049281
2140,1049285
2141,1049286
2142,1049287
2143,1049288
2144,1049293
2145,1049295
2146,1049297
2147,1049299
2148,1049300
2149,1049301
2150,1049303
2151,1049304
2153,1049307
2154,1049308
2155,1049310
2156,1049311
2157,1049317
2158,1049320
2159,1049321
2160,1049322
2161,1049324
2162,1049325
2164,1049329
2165,1049330
2166,1049331
2167,1049333
2168,1049334
2169,1049337
2170,1049342
2171,1049344
2172,1049345
2173,1049348
2174,1049350
2175,1049351
2176,1049352
2177,1049354
2178,1049358
2179,1049359
2180,1049361
2181,1049362
2182,1049363
2183,1049365
2184,1049368
2185,1049370
2186,1049376
2187,1049377
