,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
4589,8904,SingleFamily-pre-1980,231.8196061340835,144.3666
4590,8905,SingleFamily-pre-1980,234.65022404835184,193.9752
4591,8906,SingleFamily-2004,338.94002076377853,310.8434
4592,8907,SingleFamily-pre-1980,218.43703573861708,147.8968
4593,8908,SingleFamily-pre-1980,264.7001866562938,161.4602
4594,8909,SingleFamily-pre-1980,311.496487127019,244.6986
4595,8911,SingleFamily-pre-1980,314.1250529081437,191.0024
4596,8912,SingleFamily-pre-1980,265.61056336564445,167.7774
4597,8913,SingleFamily-pre-1980,197.69182910552323,213.7629
4598,8914,SingleFamily-pre-1980,220.57910028541363,136.6559
4599,8915,SingleFamily-pre-1980,233.01309996425132,224.818
4600,8916,SingleFamily-pre-1980,213.2877254384735,230.5778
4601,8917,SingleFamily-pre-1980,232.2698554602539,142.9731
4602,8918,SingleFamily-pre-1980,251.5779799150218,272.3828
4603,8919,SingleFamily-pre-1980,314.81941973594166,267.0875
4604,8920,SingleFamily-pre-1980,288.7444722669954,275.7272
4605,8922,SingleFamily-pre-1980,240.6929749448992,124.3002
4606,8923,SingleFamily-pre-1980,287.46560934014354,183.8491
4607,8924,SingleFamily-pre-1980,209.31671456799268,109.3433
4608,8926,SingleFamily-pre-1980,168.44769867635046,133.5902
4609,8927,SingleFamily-pre-1980,168.98668431016873,233.8293
4610,8929,SingleFamily-pre-1980,193.7551113316248,185.4284
4611,8930,SingleFamily-pre-1980,184.11706557027773,188.2154
4612,8932,SingleFamily-2004,183.23067597292277,188.4941
4613,8933,SingleFamily-pre-1980,230.95684857898777,163.6898
4614,8935,SingleFamily-pre-1980,179.9649584184098,160.5312
4615,8937,SingleFamily-pre-1980,170.95937623292363,138.6997
4616,8939,MultiFamily-pre-1980,774.9174244043596,1232.1327
4617,8940,SingleFamily-pre-1980,115.20954471046106,70.2324
4618,8941,SingleFamily-pre-1980,233.5036136690612,234.6654
4619,8942,SingleFamily-pre-1980,273.49102121045763,295.2362
4620,8944,SingleFamily-pre-1980,442.0712661158559,416.192
4621,8945,SingleFamily-pre-1980,310.3203741597413,185.0568
