,index,hgt_median_m,area,yrbuilt
549,549,4.59,2.2060408856228474e-08,1929
550,550,4.59,5.0027415377263906e-09,1929
551,551,8.13,2.205931215144163e-08,1924
552,552,8.13,4.481546177100487e-09,1924
553,553,4.19,2.205931215144163e-08,1924
554,554,4.19,4.481546177100487e-09,1924
555,555,4.37,2.2044018271887423e-08,1948
556,556,9.75,2.2036865878181777e-08,1970
557,557,8.71,2.203183529194227e-08,1924
558,558,9.25,2.2019656391857453e-08,1972
559,559,8.23,2.1989233043228933e-08,1908
560,560,8.64,2.1955970077012896e-08,1960
561,561,9.02,2.194695833361345e-08,1960
562,562,9.35,2.1924612004538725e-08,1922
563,563,6.23,2.192005141455731e-08,1937
564,564,9.82,2.1905876986855867e-08,1930
565,565,13.17,2.1884327435873117e-08,1928
566,566,9.89,2.1880562579357568e-08,1964
567,567,8.96,2.186114724912753e-08,1918
568,568,9.25,2.1840331361976025e-08,1958
569,569,9.45,2.183412534423401e-08,1926
570,570,8.27,2.1796704866265338e-08,1951
571,571,12.43,2.1794921871893717e-08,2010
572,572,9.29,2.1780070976569745e-08,1989
573,573,9.06,2.1777172192017253e-08,1919
574,574,8.8,2.1772966915673832e-08,1946
575,575,6.05,2.1753191940302727e-08,1960
576,576,6.05,8.925189242665439e-10,1960
577,577,8.79,2.1724493648579234e-08,1963
578,578,4.51,2.170615687264779e-08,1951
579,579,8.17,2.169198320504887e-08,1964
580,580,8.51,2.169085024167084e-08,1962
581,581,10.11,2.1682472452445438e-08,1962
582,582,10.42,2.1676348774982e-08,1964
583,583,9.1,2.1672952048637624e-08,1988
584,584,8.35,2.163796505877187e-08,1948
585,585,10.23,2.163390546998132e-08,1923
586,586,9.18,2.1615768359799643e-08,1965
587,587,10.19,2.160864570347986e-08,1964
588,588,6.33,2.1572526503563924e-08,1955
589,589,9.59,2.1567163206145766e-08,1926
590,590,9.32,2.1562996360962916e-08,1997
591,591,6.43,2.1557007071141908e-08,1924
592,592,10.4,2.1512237080692333e-08,1962
593,593,9.11,2.148607577630024e-08,1906
594,594,9.11,4.519455715531031e-09,1906
595,595,9.13,2.1449041213728838e-08,1962
596,596,9.77,2.1448698360756062e-08,1924
597,597,9.56,2.143970787444938e-08,1926
598,598,6.58,2.1412875923735878e-08,1950
599,599,6.58,6.905318768549138e-10,1950
600,600,9.06,2.1411540403944744e-08,1962
601,601,8.72,2.138767608642088e-08,1964
602,602,6.28,2.1377436973904666e-08,1925
603,603,9.19,2.1370075193705096e-08,1953
604,604,11.65,2.1360793531481624e-08,1925
605,605,9.31,2.1360796892344293e-08,1965
606,606,9.94,2.1336147737306973e-08,1930
607,607,9.19,2.1324198330871828e-08,1923
608,608,8.6,2.1285238505093613e-08,1925
609,609,9.03,2.1268124812400333e-08,1971
610,610,9.69,2.1264024236994983e-08,1984
611,611,12.03,2.1257177941875832e-08,1928
612,612,8.07,2.1249611657627288e-08,1939
613,613,8.98,2.1229321951272714e-08,1962
614,614,10.21,2.1227424943162913e-08,1915
615,615,9.21,2.121503815404464e-08,1995
